AIRPORT,RANK_NORMALIZED,RANK_ITALY
"New York, NY",54.12807708254329,2.213384659847562
"Chicago, IL",88.85741621811027,2.04275041538058
"Los Angeles, CA",58.292614458281456,1.3257817957199487
"San Francisco, CA",39.86684090366553,0.8881460812909641
"Atlanta, GA",103.55893905860125,2.1894101124742193
"Miami, FL",18.333060401376244,0.6418956634947693
"Minneapolis, MN",26.807718605952058,0.5749374723985247
"Orlando, FL",28.62906008327738,0.6833820774935427
"Washington, DC",31.013342997381457,0.7654620598721131
"Las Vegas, NV",38.79842941317437,0.7830123946306409
"Fort Lauderdale, FL",17.221791454989557,0.41631982893613717
"Denver, CO",48.393229981842694,1.0197172980194238
"Dallas/Fort Worth, TX",54.14884043812202,1.1212531672069992
"Honolulu, HI",16.435473366386883,0.2031547999171319
"Boston, MA",26.885562733510824,0.7282952530747056
"Seattle, WA",40.69433687447271,0.750261645298854
"Phoenix, AZ",44.015973141071996,0.8710930169354137
"Tampa, FL",15.391850903332298,0.3563939092030555
"Houston, TX",40.08665203565568,0.8681441993729674
"Charlotte, NC",32.76984549367868,0.8105964272198004
"Kahului, HI",5.618756527744484,0.0765611617040772
"Philadelphia, PA",20.896776590824167,0.6317820285105171
"Anchorage, AK",3.4705642500914164,0.04554858836519948
"Newark, NJ",22.364019312129365,0.6884958849456984
"San Diego, CA",20.029255407562598,0.3928120305076082
"Detroit, MI",24.535378349564912,0.6031420313215617
"Jacksonville, FL",4.3342049780100504,0.08179717140315794
"Baltimore, MD",19.041740749085058,0.36806674983028703
"New Orleans, LA",7.856551520349096,0.15482570794064962
"Salt Lake City, UT",16.73419051843128,0.33360285230803133
"Raleigh/Durham, NC",6.989368689834166,0.1490605970886904
"Kona, HI",2.6638851559171477,0.020566870719206088
"Lihue, HI",2.649101596399164,0.020384134815652412
"Portland, OR",14.683911491533737,0.27407438994546296
"West Palm Beach/Palm Beach, FL",4.6898049297509825,0.10577465066380741
"Dallas, TX",10.435016438442917,0.20479451837293508
"Cleveland, OH",3.4989529276721387,0.05565755242534501
"St. Louis, MO",8.31147762747936,0.16359057065433374
"Kansas City, MO",7.96985964613474,0.14801580119427624
"Austin, TX",9.645154308320372,0.1828973452080569
"Fort Myers, FL",5.624501421463719,0.11444825663612102
"San Jose, CA",9.011266998576524,0.1586598182217285
"San Antonio, TX",5.759261400942095,0.09912391326231663
"Indianapolis, IN",4.060763911804528,0.06613348549845338
"Spokane, WA",2.500789386585348,0.02766932209510712
"Oakland, CA",11.517613673344002,0.19176237607488875
"Sacramento, CA",9.497449712613596,0.16255054096087035
"Hilo, HI",2.337435567635539,0.01653170852387713
"Santa Ana, CA",11.778567316573877,0.2132197800199536
"Richmond, VA",3.0691947236241766,0.046058951861147966
"Nashville, TN",7.4346137593540185,0.15237323862554772
"Columbus, OH",3.481457705793025,0.05474651226172193
"Pittsburgh, PA",4.273154507947096,0.07462757800818187
"Omaha, NE",2.9028424008443845,0.04226685235618528
"Milwaukee, WI",2.9627417363769823,0.041723000425202855
"Memphis, TN",2.211050329274313,0.02560364041705764
"Charleston, SC",2.1728581799150817,0.024796194157136933
"Ontario, CA",3.715393131008173,0.049340724482096796
"Burbank, CA",3.905428510484136,0.05381519512158018
"Birmingham, AL",2.1018834035208256,0.02329566803567629
"Reno, NV",1.9663461419328714,0.01950236177292288
"Buffalo, NY",2.49406272882993,0.046148199397496606
"Savannah, GA",2.0611823649473333,0.02243517963891336
"Norfolk, VA",2.0706475887797815,0.02263529038709192
"Pensacola, FL",1.9738522809083299,0.020588874811379134
"Albuquerque, NM",2.6752358908220866,0.03381829117640812
"Hartford, CT",5.382310702942698,0.09859664720384896
"Louisville, KY",2.667402349833638,0.03659602312583443
"Cincinnati, OH",2.6271873161925567,0.03567725287393481
"Providence, RI",2.5950888953920312,0.03381494551404441
"Tulsa, OK",1.7694081574477103,0.015932037074717947
"Sarasota/Bradenton, FL",1.8367044713117497,0.017689339493964156
"Oklahoma City, OK",2.4579320492446124,0.03086650422091606
"Des Moines, IA",1.7580464933485063,0.017426792889909053
"Tucson, AZ",1.733799438002901,0.015194691840089996
"Manchester, NH",1.8220838126429897,0.015890444103548396
"Greer, SC",1.7619015505251259,0.016107879962786762
"El Paso, TX",2.3931344886037773,0.028213645846755894
"Greensboro/High Point, NC",1.7282173364360658,0.015395739034850045
"Little Rock, AR",1.6941413784513237,0.014675315982216957
"Boise, ID",1.6632518110687562,0.012228050221209987
